rank,score,title,namespace,assembly,url
55,204,FamilyInstanceFilter Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/ec0bdad7-e213-f22a-94ef-bc0fd96ac641.htm
56,204,ParameterFilterRuleFactory Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/317755a4-24ba-9f36-7639-f6fb2aa5a1a7.htm
57,204,ParameterSetIterator Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/389eba07-4d2d-a26f-0a61-aae5054a669a.htm
58,204,ParameterFilterUtilities Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/50afdc29-3a0c-e3d9-c547-0fcdb40d3ce8.htm
59,204,ParameterSet Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/6e6e8667-ebe2-0c60-c180-9d8000cff598.htm
60,204,ElementIdSetFilter Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/b13469b1-1ef3-23af-feb5-4dc847ab6359.htm
61,203,ElementType Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/ffb18296-0448-559c-580c-7857cbcdc094.htm
62,203,ViewCropRegionShapeManager Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/2610cb66-5dae-9fc8-4e83-7dfe88085abb.htm
63,203,ElementCategoryFilter Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/b492ddf4-3058-8f9b-dfcc-8d5c4abb3605.htm
64,203,ElementSlowFilter Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/e06b1e14-dd8d-8137-74ac-8ac4929eee85.htm
65,203,DocumentPreviewSettings Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/e38ea350-9951-ee05-5e3d-ab7f31815fb3.htm
66,202,ElementQuickFilter Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/ebc95d82-11fc-69f6-2df1-52331dd36443.htm
67,202,ElementIntersectsElementFilter Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/404df79f-2e48-ad4d-2654-a49aa5bf4443.htm
68,202,IFCLinkDocumentExportScope Class,Autodesk.Revit.DB.IFC,RevitAPIIFC,https://www.revitapidocs.com/2024/60ae5791-59a1-79c6-b2e6-e3e235b936b5.htm
69,202,CurveElement Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/61673852-2d08-003d-e9fd-4be89d533774.htm
